,HH_ID,I_Cookstove__id,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13a,I13b,I14__111,I14__1,I14__2,I14__3,I14__4,I14__5,I14__6,I14__7,I14__8,I14__9,I14__10,I14__11,I14__12,I15,I16,I16_oth,I17,I18,I19a,I19b,I20a,I20b,I21,I22,I23,I24,I25,I26,I27,I31__1,I31__2,I31__3,I31__4,I31__5,I31__6,I31__7,I31__8,I31__9,I32,I32_oth,I33,I35,I36a,I36b,interview__key
16,1001500180201.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,2,7,2,120,0,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,79-53-13-48
17,1001500180702.0,1,3-Stone/Open Fire Stove,,,,,,,,,,37,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Wood collected,Mostly available,Sometimes available,5,7,2,60,0,90,10,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,0.0,09-60-14-59
18,1001500181501.0,1,3-Stone/Open Fire Stove,,,,,,,,,,40,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Sometimes available,10,7,3,80,60,120,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,6000,0.0,98-90-11-17
19,1001500181503.0,1,3-Stone/Open Fire Stove,,,,,,,,,,6,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Not applicable,Mostly available,,5,7,2,40,80,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1000,,83-42-19-70
20,1001500181601.0,1,3-Stone/Open Fire Stove,,,,,,,,,,50,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Mostly available,5,2,7,60,0,120,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1200,0.0,32-29-54-86
21,1001500181605.0,1,3-Stone/Open Fire Stove,,,,,,,,,,45,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Not applicable,Always available,,20,7,2,28,0,49,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,33-55-59-68
22,1001500181606.0,1,3-Stone/Open Fire Stove,,,,,,,,,,9,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Crop Residue/Plant Biomass,Wood collected,Always available,Sometimes available,6,7,2,14,0,44,8,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,36-36-20-09
23,1001500181702.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Wood collected,Always available,Sometimes available,13,7,3,26,47,54,8,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1400,0.0,90-70-74-06
24,1001500181802.0,1,3-Stone/Open Fire Stove,,,,,,,,,,4,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood collected,Garbage/plastic,Always available,Rarely available,5,7,2,40,0,120,180,No,Yes,No,No,No,No,No,No,No,Yes,,Yes,Yes,0,0.0,01-85-24-04
25,1001500181901.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Wood collected,Mostly available,Sometimes available,10,7,2,120,0,190,180,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1200,0.0,72-62-45-86
26,1001500182001.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Garbage/plastic,Always available,Sometimes available,5,7,2,120,0,190,100,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,3000,0.0,99-10-02-63
27,1001500182103.0,1,3-Stone/Open Fire Stove,,,,,,,,,,8,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Not applicable,Mostly available,,10,7,3,60,120,120,0,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1200,,83-48-53-07
28,1001500182103.0,2,Koresone Stove,"Purchased, upfront",Head,1000.0,,No,Shanghai  shengznong  metal production  made in china,1500.0,,1.0,8,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,"In dwelling, in a sleeping area",,,,Kerosene,Not applicable,Mostly available,,1,7,1,30,0,0,14,No,No,No,No,No,No,No,No,Yes,,,No,,900,,83-48-53-07
29,1001500920601.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Wood collected,Always available,Sometimes available,7,7,2,45,0,120,50,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,5000,0.0,17-06-81-86
30,1001500920603.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Animal Waste/Dung,Always available,Sometimes available,4,7,2,0,46,52,9,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,35-31-31-49
31,1001500920801.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Mostly available,Always available,13,7,2,28,0,54,8,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,3000,0.0,81-43-81-58
32,1001500920902.0,1,3-Stone/Open Fire Stove,,,,,,,,,,3,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Animal Waste/Dung,Always available,Sometimes available,8,7,2,29,0,58,16,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,4000,0.0,69-82-60-78
33,1001500921301.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Not applicable,Always available,,5,7,2,60,0,120,5,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,,69-27-62-43
34,1001500921501.0,1,3-Stone/Open Fire Stove,,,,,,,,,,9,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Not applicable,Mostly available,,2,7,2,60,0,120,7,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,3300,,63-78-41-51
35,1001500921507.0,1,3-Stone/Open Fire Stove,,,,,,,,,,35,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Sometimes available,5,7,3,50,60,90,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,300,0.0,32-29-58-91
36,1001500921603.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Wood purchased,Mostly available,Always available,5,7,3,70,60,120,10,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,200.0,16-67-24-58
37,1001500921606.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,888,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Crop Residue/Plant Biomass,Mostly available,Sometimes available,5,7,2,60,0,190,160,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,800,0.0,27-25-14-30
38,1001500922001.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Crop Residue/Plant Biomass,Mostly available,Rarely available,5,7,2,60,0,120,40,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,2000,0.0,91-75-89-52
39,1001500922101.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Not applicable,Always available,,5,7,2,40,0,80,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,2400,,25-33-07-41
40,1001500922103.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Not applicable,Always available,,7,7,3,40,30,90,10,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,3000,,48-10-71-39
41,1001500922202.0,1,3-Stone/Open Fire Stove,,,,,,,,,,18,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Rarely available,5,7,2,120,0,170,40,No,Yes,No,No,No,No,No,No,No,Yes,,Yes,Yes,1500,0.0,25-10-26-57
42,1001500922702.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Mostly available,,5,7,2,60,0,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,23-81-70-56
43,1002500360201.0,1,3-Stone/Open Fire Stove,,,,,,,,,,13,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Always available,13,7,2,0,58,42,24,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,04-54-80-24
44,1002500360406.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Mostly available,Mostly available,6,7,1,0,58,0,28,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,69-39-21-42
45,1002500360407.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,1,0,120,0,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,27-33-51-22
46,1002500360501.0,1,3-Stone/Open Fire Stove,,,,,,,,,,17,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,10,7,3,30,50,60,14,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,26-25-15-95
47,1002500360601.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,1,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Mostly available,7,7,2,46,0,58,24,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,57-08-12-59
48,1002500360602.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,2,90,0,120,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,39-90-03-46
49,1002500360802.0,1,3-Stone/Open Fire Stove,,,,,,,,,,4,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Not applicable,Always available,,5,7,2,30,0,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1200,,57-36-70-19
50,1002500360901.0,1,3-Stone/Open Fire Stove,,,,,,,,,,50,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,2,7,2,70,0,60,17,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,,61-94-16-44
51,1002500361001.0,1,3-Stone/Open Fire Stove,,,,,,,,,,13,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Wood purchased,Always available,Sometimes available,5,7,2,40,0,150,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,10-12-14-36
52,1002500361102.0,1,3-Stone/Open Fire Stove,,,,,,,,,,5,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,3,7,3,60,40,150,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,58-23-78-68
53,1002500361302.0,1,3-Stone/Open Fire Stove,,,,,,,,,,19,9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Always available,7,7,2,0,54,49,27,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,62-38-24-04
54,1002500361503.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,2,60,0,180,15,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,0,,28-45-36-83
55,1002500361505.0,1,3-Stone/Open Fire Stove,,,,,,,,,,45,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Always available,Sometimes available,7,7,1,56,0,0,19,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,25-89-53-70
56,1002500361602.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Wood collected,Mostly available,Mostly available,5,7,3,40,60,80,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,400,0.0,68-91-12-95
57,1003504600102.0,1,3-Stone/Open Fire Stove,,,,,,,,,,4,5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Crop Residue/Plant Biomass,Wood purchased,Always available,Always available,5,7,2,16,0,49,5,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,1500.0,54-20-35-03
58,1003504600104.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood collected,Garbage/plastic,Always available,Sometimes available,5,7,3,70,30,180,80,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,93-08-99-06
59,1003504600104.0,2,,,,,,,,,Yes,,4,2,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Moveable,"In dwelling, NOT in sleeping area",,No,,Charcoal,Garbage/plastic,Rarely available,Sometimes available,10,0,0,0,0,0,0,No,No,No,No,No,No,No,No,Yes,,,No,,0,0.0,93-08-99-06
60,1003504600206.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Sometimes available,3,7,2,90,0,120,10,No,No,No,No,Yes,No,No,No,No,No,,Yes,Yes,3000,400.0,21-21-74-99
61,1003504600501.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Wood collected,Mostly available,Sometimes available,5,7,3,90,60,120,20,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,3000,300.0,87-29-16-07
62,1003504600603.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,"In dwelling, NOT in sleeping area",,,,Crop Residue/Plant Biomass,Animal Waste/Dung,Mostly available,Rarely available,5,7,3,45,30,120,180,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,100.0,47-34-32-20
63,1003504600607.0,1,3-Stone/Open Fire Stove,,,,,,,,,,9,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Crop Residue/Plant Biomass,Animal Waste/Dung,Mostly available,Sometimes available,5,7,2,60,0,90,10,No,No,No,Yes,No,No,No,No,No,Yes,,Yes,Yes,600,500.0,00-89-32-92
64,1003504600609.0,1,3-Stone/Open Fire Stove,,,,,,,,,,12,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood purchased,Crop Residue/Plant Biomass,Mostly available,Always available,12,7,2,32,0,47,11,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,87-26-76-16
65,1003504600612.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Crop Residue/Plant Biomass,Wood collected,Always available,Mostly available,4,7,3,13,47,56,9,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,0.0,33-85-37-89
66,1003504600802.0,1,3-Stone/Open Fire Stove,,,,,,,,,,35,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Animal Waste/Dung,Always available,Mostly available,3,7,2,100,0,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,58-03-03-19
67,1003504601001.0,1,3-Stone/Open Fire Stove,,,,,,,,,,40,6,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Moveable,Outdoors,,,,Wood collected,Not applicable,Mostly available,,5,7,1,10,0,10,14,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,79-42-11-67
68,1003504601402.0,1,3-Stone/Open Fire Stove,,,,,,,,,,40,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Mostly available,25,7,4,90,60,120,21,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,0.0,82-25-03-01
69,1003504601701.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Always available,3,7,2,10,0,120,14,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,0.0,25-26-55-78
70,1003504601803.0,1,3-Stone/Open Fire Stove,,,,,,,,,,5,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,In a separate kitchen,,,,Wood collected,Crop Residue/Plant Biomass,Mostly available,Sometimes available,5,7,2,40,0,120,120,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,500,0.0,07-23-19-62
71,1003504602401.0,1,3-Stone/Open Fire Stove,,,,,,,,,,25,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Crop Residue/Plant Biomass,Always available,Always available,14,7,3,16,45,54,8,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,86-36-17-93
72,1003514380401.0,1,3-Stone/Open Fire Stove,,,,,,,,,,2,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Crop Residue/Plant Biomass,Wood purchased,Always available,Always available,12,7,2,43,0,57,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,1200.0,34-12-82-05
73,1003514380803.0,1,3-Stone/Open Fire Stove,,,,,,,,,,4,11,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,"In dwelling, NOT in sleeping area",,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Mostly available,5,7,2,30,0,105,160,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,2000,0.0,76-50-99-49
74,1003514380805.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,In a separate kitchen,,,,Crop Residue/Plant Biomass,Wood purchased,Mostly available,Always available,10,7,2,90,0,120,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,600,500.0,22-93-32-12
75,1003514381205.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood purchased,Not applicable,Mostly available,,5,7,2,110,0,80,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1400,,82-98-54-39
76,1003514381901.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,In a separate kitchen,,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Mostly available,1,7,2,30,120,120,0,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,1000,0.0,03-60-92-74
