,HHID,Number_of_items,C109,C110,C111,C112
338,02090100104032,,,,,
339,02090100104044,,,,,
340,02090100104056,,,,,
341,02090100104068,,,,,
342,02090100104080,,,,,
343,02090100104092,,,,,
344,02090100104104,,,,,
345,02090100104116,,,,,
346,02090100104128,,,,,
347,02090100104140,,,,,
348,02090200123004,,,,,
349,02090200123018,,,,,
350,02090200123032,,,,,
351,02090200123046,,,,,
352,02090200123060,,,,,
353,02090200123074,,,,,
354,02090200123088,,,,,
355,02090200123102,,,,,
356,02090200123116,,,,,
357,02090200123130,,,,,
358,02090200123144,,,,,
359,02090200123158,,,,,
360,02100100401006,,,,,
361,02100100401026,,,,,
362,02100100401046,,,,,
363,02100100401066,,,,,
364,02100100401086,,,,,
365,02100100401106,,,,,
366,02100100401126,,,,,
367,02100100401146,,,,,
368,02100100401166,,,,,
369,02100100401186,,,,,
370,02100100401206,,,,,
371,02100100401226,,,,,
372,02100100501005,,,,,
373,02100100501024,,,,,
374,02100100501043,,,,,
375,02100100501062,,,,,
376,02100100501081,,,,,
377,02100100501100,,,,,
378,02100100501119,,,,,
379,02100100501138,,,,,
380,02100100501157,,,,,
381,02100100501176,,,,,
382,02100100501195,,,,,
383,02100100501214,,,,,
384,02100200904005,,,,,
385,02100200904016,,,,,
386,02100200904027,,,,,
387,02100200904038,,,,,
388,02100200904049,,,,,
389,02100200904060,,,,,
390,02100200904071,,,,,
391,02100200904082,,,,,
392,02100200904093,,,,,
393,02100200904104,,,,,
394,02100200904115,,,,,
395,02100200904126,,,,,
396,03110300605013,,,,,
397,03110300605030,,,,,
398,03110300605047,,,,,
399,03110300605064,,,,,
400,03110300605081,,,,,
401,03110300605098,,,,,
402,03110300605115,,,,,
403,03110300605132,,,,,
404,03110300605149,,,,,
405,03110300605166,,,,,
406,03110300605183,,,,,
407,03110300605200,,,,,
408,03110301501010,,,,,
409,03110301501025,,,,,
410,03110301501040,,,,,
411,03110301501055,,,,,
412,03110301501070,,,,,
413,03110301501085,,,,,
414,03110301501100,,,,,
415,03110301501115,,,,,
416,03110301501130,,,,,
417,03110301501145,,,,,
418,03110301501160,,,,,
419,03110301501175,,,,,
420,03110800110001,,,,,
421,03110800110002,,,,,
422,03110800110003,,,,,
423,03110800110008,,,,,
424,03110800110030,,,,,
425,03110800110052,,,,,
426,03110800110074,,,,,
427,03110800110096,,,,,
428,03110800110118,,,,,
429,03110800110140,,,,,
430,03110800110162,,,,,
431,03110800110184,,,,,
432,03110800701014,,,,,
433,03110800701029,,,,,
434,03110800701044,,,,,
435,03110800701059,,,,,
436,03110800701074,,,,,
437,03110800701089,,,,,
438,03110800701104,,,,,
439,03110800701119,,,,,
440,03110800701134,,,,,
441,03110800701149,,,,,
442,03110800701164,,,,,
443,03110800701179,,,,,
444,03111700101001,,,,,
445,03111700101002,,,,,
446,03111700101003,,,,,
447,03111700101013,,,,,
448,03111700101037,,,,,
449,03111700101061,,,,,
450,03111700101085,1.0,5.0,3.0,20.0,1.0
451,03111700101109,,,,,
452,03111700101133,,,,,
453,03111700101157,,,,,
454,03111700101181,1.0,5.0,3.0,50.0,1.0
455,03111700101205,,,,,
456,03111800604007,,,,,
457,03111800604026,,,,,
458,03111800604045,,,,,
459,03111800604064,,,,,
460,03111800604083,,,,,
461,03111800604102,,,,,
462,03111800604121,,,,,
463,03111800604140,,,,,
464,03111800604159,,,,,
465,03111800604178,,,,,
466,03111800604197,,,,,
467,03111800604216,,,,,
468,03111801205008,,,,,
469,03111801205017,,,,,
470,03111801205026,,,,,
471,03111801205035,,,,,
472,03111801205044,,,,,
473,03111801205053,,,,,
474,03111801205062,,,,,
475,03111801205071,,,,,
476,03111801205080,,,,,
477,03111801205089,,,,,
478,03111801205098,,,,,
479,03111801205107,,,,,
480,03111802013001,,,,,
481,03111802013004,,,,,
482,03111802013018,,,,,
483,03111802013032,,,,,
484,03111802013046,,,,,
485,03111802013060,,,,,
486,03111802013074,,,,,
487,03111802013088,,,,,
488,03111802013102,,,,,
489,03111802013116,,,,,
490,03111802013130,,,,,
491,03111802013144,,,,,
492,03112101007015,,,,,
493,03112101007031,,,,,
494,03112101007047,,,,,
495,03112101007063,,,,,
496,03112101007079,,,,,
497,03112101007095,,,,,
498,03112101007111,,,,,
499,03112101007127,,,,,
500,03112101007143,,,,,
501,03112101007159,,,,,
502,03112101007175,,,,,
503,03112101007191,,,,,
504,03120102608012,,,,,
505,03120102608028,,,,,
506,03120102608044,,,,,
507,03120102608060,,,,,
508,03120102608076,,,,,
509,03120102608092,,,,,
510,03120102608108,,,,,
511,03120102608124,,,,,
512,03120102608140,,,,,
513,03120102608156,,,,,
514,03120102608172,,,,,
515,03120102608188,,,,,
516,03120200303028,,,,,
517,03120200303049,,,,,
518,03120200303070,,,,,
519,03120200303091,,,,,
520,03120200303112,,,,,
521,03120200303133,,,,,
522,03120200303154,,,,,
523,03120200303175,,,,,
524,03120200303196,,,,,
525,03120200303217,,,,,
526,03120200303238,,,,,
527,03120300709007,,,,,
528,03120300709022,,,,,
529,03120300709037,,,,,
530,03120300709052,,,,,
531,03120300709067,,,,,
532,03120300709082,,,,,
533,03120300709097,,,,,
534,03120300709112,,,,,
535,03120300709127,,,,,
536,03120300709142,,,,,
537,03120300709157,,,,,
538,03120300709172,,,,,
539,03120302401010,,,,,
540,03120302401027,,,,,
541,03120302401044,,,,,
542,03120302401061,,,,,
543,03120302401078,,,,,
544,03120302401095,,,,,
545,03120302401112,,,,,
546,03120302401129,,,,,
547,03120302401146,,,,,
548,03120302401163,,,,,
549,03120302401180,,,,,
550,03120302401197,,,,,
551,03121000302003,,,,,
552,03121000302013,,,,,
553,03121000302023,,,,,
554,03121000302033,,,,,
555,03121000302043,,,,,
556,03121000302053,,,,,
557,03121000302063,,,,,
558,03121000302073,,,,,
559,03121000302083,,,,,
560,03121000302093,,,,,
561,03121000302103,,,,,
562,03121000302113,,,,,
563,03130200801006,,,,,
564,03130200801017,,,,,
565,03130200801026,,,,,
566,03130200801042,,,,,
567,03130200801063,,,,,
568,03130200801080,,,,,
569,03130200801100,,,,,
570,03130200801109,,,,,
571,03130200801119,,,,,
572,03130200801142,,,,,
573,03130200801169,,,,,
574,03130200801174,,,,,
575,03130202504009,,,,,
576,03130202504029,,,,,
577,03130202504049,,,,,
578,03130202504069,,,,,
579,03130202504089,,,,,
580,03130202504109,,,,,
581,03130202504129,,,,,
582,03130202504149,,,,,
583,03130202504169,,,,,
584,03130202504189,,,,,
585,03130202504209,,,,,
586,03130202504229,,,,,
587,03130401201010,,,,,
588,03130401201028,,,,,
589,03130401201046,,,,,
590,03130401201064,,,,,
591,03130401201082,,,,,
592,03130401201100,,,,,
593,03130401201118,,,,,
594,03130401201136,,,,,
595,03130401201154,,,,,
596,03130401201190,,,,,
597,03130401201235,,,,,
598,03130401201280,,,,,
599,03130803001016,,,,,
600,03130803001024,,,,,
601,03130803001042,,,,,
602,03130803001052,,,,,
603,03130803001067,,,,,
604,03130803001075,,,,,
605,03130803001083,,,,,
606,03130803001100,,,,,
607,03130803001108,,,,,
608,03130803001122,,,,,
609,03130803001154,,,,,
610,03130803001204,,,,,
611,03131000101001,,,,,
612,03131000101014,,,,,
613,03131000101032,,,,,
614,03131000101050,,,,,
615,03131000101068,,,,,
616,03131000101086,,,,,
617,03131000101104,,,,,
618,03131000101122,,,,,
619,03131000101140,,,,,
620,03131000101158,,,,,
621,03131000101176,,,,,
622,03131000101194,,,,,
623,03140400104008,,,,,
624,03140400104017,,,,,
625,03140400104026,,,,,
626,03140400104035,,,,,
627,03140400104044,,,,,
628,03140400104053,,,,,
629,03140400104062,,,,,
630,03140400104071,,,,,
631,03140400104080,,,,,
632,03140400104089,,,,,
633,03140400104098,,,,,
634,03140400104107,,,,,
635,03140901602005,,,,,
636,03140901602020,,,,,
637,03140901602035,,,,,
638,03140901602050,,,,,
639,03140901602065,,,,,
640,03140901602080,,,,,
641,03140901602095,,,,,
642,03140901602110,,,,,
643,03140901602125,,,,,
644,03140901602140,,,,,
645,03140901602155,,,,,
646,03140901602170,,,,,
647,03141000205007,,,,,
648,03141000205024,,,,,
649,03141000205041,,,,,
650,03141000205058,,,,,
651,03141000205075,,,,,
652,03141000205092,,,,,
653,03141000205109,,,,,
654,03141000205126,,,,,
655,03141000205143,,,,,
656,03141000205164,,,,,
657,03141000205178,,,,,
658,03141000205192,,,,,
659,03141001902009,,,,,
660,03141001902025,,,,,
661,03141001902041,,,,,
662,03141001902057,,,,,
663,03141001902073,,,,,
664,03141001902089,,,,,
665,03141001902105,,,,,
666,03141001902121,,,,,
667,03141001902137,,,,,
668,03141001902153,,,,,
669,03141001902169,,,,,
670,03141001902185,,,,,
671,03141202605009,,,,,
672,03141202605013,,,,,
673,03141202605018,,,,,
674,03141202605031,,,,,
675,03141202605036,,,,,
676,03141202605049,,,,,
677,03141202605067,,,,,
678,03141202605085,,,,,
679,03141202605103,,,,,
680,03141202605121,,,,,
681,03141202605139,,,,,
682,03141202605157,,,,,
683,03141700416006,,,,,
684,03141700416018,,,,,
685,03141700416030,,,,,
686,03141700416042,,,,,
687,03141700416054,,,,,
688,03141700416066,,,,,
689,03141700416078,,,,,
690,03141700416090,,,,,
691,03141700416102,,,,,
692,03141700416114,,,,,
693,03141700416126,,,,,
694,03141700416138,,,,,
695,03141800307011,,,,,
696,03141800307024,,,,,
697,03141800307037,,,,,
698,03141800307050,,,,,
699,03141800307063,,,,,
700,03141800307076,,,,,
701,03141800307089,,,,,
702,03141800307102,,,,,
703,03141800307115,,,,,
704,03141800307120,,,,,
705,03141800307141,,,,,
706,03141800307154,,,,,
707,03141800618005,,,,,
708,03141800618012,,,,,
709,03141800618019,,,,,
710,03141800618026,,,,,
711,03141800618033,,,,,
712,03141800618040,,,,,
713,03141800618047,,,,,
714,03141800618054,,,,,
715,03141800618061,,,,,
716,03141800618068,,,,,
717,03141800618075,,,,,
718,03141800618082,,,,,
719,03141800910007,,,,,
720,03141800910019,,,,,
721,03141800910031,,,,,
722,03141800910043,,,,,
723,03141800910055,,,,,
724,03141800910067,,,,,
725,03141800910079,,,,,
726,03141800910091,,,,,
727,03141800910103,,,,,
728,03141800910115,,,,,
729,03141800910127,,,,,
730,03141800910139,,,,,
731,03150300101020,,,,,
732,03150300101040,,,,,
733,03150300101060,,,,,
734,03150300101080,,,,,
735,03150300101100,,,,,
736,03150300101120,,,,,
737,03150300101140,,,,,
738,03150300101160,,,,,
739,03150300101180,,,,,
740,03150300101200,,,,,
741,03150300101220,,,,,
742,03150300101240,,,,,
743,03150300905019,,,,,
744,03150300905023,,,,,
745,03150300905039,,,,,
746,03150300905059,,,,,
747,03150300905079,,,,,
748,03150300905099,,,,,
749,03150300905119,,,,,
750,03150300905139,,,,,
751,03150300905179,,,,,
752,03150300905199,,,,,
753,03150300905219,,,,,
754,03150300905239,,,,,
755,03150800103013,,,,,
756,03150800103028,,,,,
757,03150800103043,,,,,
758,03150800103058,,,,,
759,03150800103073,,,,,
760,03150800103088,,,,,
761,03150800103103,,,,,
762,03150800103118,,,,,
763,03150800103133,,,,,
764,03150800103148,,,,,
765,03150800103163,,,,,
766,03150800103178,,,,,
767,03151900506012,,,,,
768,03151900506027,,,,,
769,03151900506042,,,,,
770,03151900506057,,,,,
771,03151900506072,,,,,
772,03151900506087,,,,,
773,03151900506102,,,,,
774,03151900506117,,,,,
775,03151900506132,,,,,
776,03151900506147,,,,,
777,03151900506162,,,,,
778,03151900506177,,,,,
779,03152000107001,,,,,
780,03152000107003,,,,,
781,03152000107005,,,,,
782,03152000107007,,,,,
783,03152000107009,,,,,
784,03152000107011,,,,,
785,03152000107013,,,,,
786,03152000107015,,,,,
787,03152000107017,,,,,
788,03152000107029,,,,,
789,03152000107066,,,,,
790,03152000107103,,,,,
791,03152000407001,,,,,
792,03152000407008,,,,,
793,03152000407012,,,,,
794,03152000407023,,,,,
795,03152000407034,,,,,
796,03152000407045,,,,,
797,03152000407056,,,,,
798,03152000407067,,,,,
799,03152000407078,,,,,
800,03152000407089,,,,,
801,03152000407100,,,,,
802,03152000407111,,,,,
803,03152000407122,,,,,
804,03152000705001,,,,,
805,03152000705011,,,,,
806,03152000705025,,,,,
807,03152000705039,,,,,
808,03152000705053,,,,,
809,03152000705067,,,,,
810,03152000705081,,,,,
811,03152000705095,,,,,
812,03152000705109,,,,,
813,03152000705123,,,,,
814,03152000705137,,,,,
815,03152000705165,,,,,
816,03160201902005,,,,,
817,03160201902017,,,,,
818,03160201902029,,,,,
819,03160201902041,,,,,
820,03160201902053,,,,,
821,03160201902065,,,,,
822,03160201902077,,,,,
823,03160201902089,,,,,
824,03160201902101,,,,,
825,03160201902113,,,,,
826,03160201902125,,,,,
827,03160201902137,,,,,
828,03160204005008,,,,,
829,03160204005022,,,,,
830,03160204005036,,,,,
831,03160204005050,,,,,
832,03160204005064,,,,,
833,03160204005078,,,,,
834,03160204005092,,,,,
835,03160204005106,,,,,
836,03160204005120,,,,,
837,03160204005134,,,,,
838,03160204005148,,,,,
839,03160204005162,,,,,
840,03160500103010,,,,,
841,03160500103023,,,,,
842,03160500103036,,,,,
843,03160500103049,,,,,
844,03160500103062,,,,,
845,03160500103075,,,,,
846,03160500103088,,,,,
847,03160500103101,,,,,
848,03160500103114,,,,,
849,03160500103127,,,,,
850,03160500103140,,,,,
851,03160500103153,,,,,
852,03160600803010,,,,,
853,03160600803026,,,,,
854,03160600803042,,,,,
855,03160600803058,,,,,
856,03160600803074,,,,,
857,03160600803090,,,,,
858,03160600803106,,,,,
859,03160600803122,,,,,
860,03160600803138,,,,,
861,03160600803154,,,,,
862,03160600803170,,,,,
863,03160600803186,,,,,
864,03161500214007,,,,,
865,03161500214018,,,,,
866,03161500214029,,,,,
867,03161500214040,,,,,
868,03161500214051,,,,,
869,03161500214062,,,,,
870,03161500214073,,,,,
871,03161500214084,,,,,
872,03161500214095,,,,,
873,03161500214106,,,,,
874,03161500214117,,,,,
875,03161500214128,,,,,
876,03170400206005,,,,,
877,03170400206025,,,,,
878,03170400206045,,,,,
879,03170400206065,,,,,
880,03170400206085,,,,,
881,03170400206105,,,,,
882,03170400206125,,,,,
883,03170400206145,,,,,
884,03170400206165,,,,,
885,03170400206185,,,,,
886,03170400206205,,,,,
887,03170400206225,,,,,
888,03170401804019,,,,,
889,03170401804043,,,,,
890,03170401804067,,,,,
891,03170401804091,,,,,
892,03170401804115,,,,,
893,03170401804139,,,,,
894,03170401804163,,,,,
895,03170401804187,,,,,
896,03170401804211,,,,,
897,03170401804235,,,,,
898,03170401804259,,,,,
899,03170401804283,,,,,
900,03170403702010,,,,,
901,03170403702030,,,,,
902,03170403702050,,,,,
903,03170403702070,,,,,
904,03170403702090,,,,,
905,03170403702110,,,,,
906,03170403702130,,,,,
907,03170403702150,,,,,
908,03170403702170,,,,,
909,03170403702190,,,,,
910,03170403702210,,,,,
911,03170403702230,,,,,
912,03170500110018,,,,,
913,03170500110045,,,,,
914,03170500110072,,,,,
915,03170500110099,,,,,
916,03170500110126,,,,,
917,03170500110153,,,,,
918,03170500110180,,,,,
919,03170500110207,,,,,
920,03170500110234,,,,,
921,03170500110261,,,,,
922,03170500110288,,,,,
923,03170500110315,,,,,
924,03170601005004,,,,,
925,03170601005016,,,,,
926,03170601005028,,,,,
927,03170601005040,,,,,
928,03170601005052,,,,,
929,03170601005064,,,,,
930,03170601005076,,,,,
931,03170601005088,,,,,
932,03170601005100,,,,,
933,03170601005112,,,,,
934,03170601005124,,,,,
935,03170601005136,,,,,
936,03180100102002,,,,,
937,03180100102005,,,,,
938,03180100102008,,,,,
939,03180100102016,,,,,
940,03180100102035,,,,,
941,03180100102054,,,,,
942,03180100102073,,,,,
943,03180100102092,,,,,
944,03180100102111,,,,,
945,03180100102130,,,,,
946,03180100102149,,,,,
947,03180100102168,,,,,
948,03180201302007,,,,,
949,03180201302024,,,,,
950,03180201302041,,,,,
951,03180201302058,,,,,
952,03180201302075,,,,,
953,03180201302092,,,,,
954,03180201302109,,,,,
955,03180201302126,,,,,
956,03180201302143,,,,,
957,03180201302160,,,,,
958,03180201302177,,,,,
959,03180201302194,,,,,
960,03180302503003,,,,,
961,03180302503019,,,,,
962,03180302503035,,,,,
963,03180302503051,,,,,
964,03180302503067,,,,,
965,03180302503083,,,,,
966,03180302503099,,,,,
967,03180302503115,,,,,
968,03180302503131,,,,,
969,03180302503147,,,,,
970,03180302503163,,,,,
971,03180302503179,,,,,
972,03180700305005,,,,,
973,03180700305017,,,,,
974,03180700305029,,,,,
975,03180700305041,,,,,
976,03180700305053,,,,,
977,03180700305065,,,,,
978,03180700305077,,,,,
979,03180700305089,,,,,
980,03180700305101,,,,,
981,03180700305113,,,,,
982,03180700305125,,,,,
983,03180700305137,,,,,
984,03190201401010,,,,,
985,03190201401028,,,,,
986,03190201401046,,,,,
987,03190201401064,,,,,
988,03190201401082,,,,,
989,03190201401100,,,,,
990,03190201401118,,,,,
991,03190201401136,,,,,
992,03190201401154,,,,,
993,03190201401172,,,,,
994,03190201401190,,,,,
995,03190201401208,,,,,
996,03190202501009,,,,,
997,03190202501030,,,,,
998,03190202501051,,,,,
999,03190202501072,,,,,
1000,03190202501093,,,,,
1001,03190202501114,,,,,
1002,03190202501135,,,,,
1003,03190202501156,,,,,
1004,03190202501177,,,,,
1005,03190202501198,,,,,
1006,03190202501219,,,,,
1007,03190202501240,,,,,
1008,03190402004013,,,,,
1009,03190402004031,,,,,
1010,03190402004046,,,,,
1011,03190402004067,,,,,
1012,03190402004082,,,,,
1013,03190402004100,,,,,
1014,03190402004118,,,,,
1015,03190402004136,,,,,
1016,03190402004154,,,,,
1017,03190402004172,,,,,
1018,03190402004190,,,,,
1019,03190402004208,,,,,
1020,03200100113021,,,,,
1021,03200100113042,,,,,
1022,03200100113063,,,,,
1023,03200100113084,,,,,
1024,03200100113105,,,,,
1025,03200100113126,,,,,
1026,03200100113147,,,,,
1027,03200100113168,,,,,
1028,03200100113189,,,,,
1029,03200100113210,,,,,
1030,03200100113231,,,,,
1031,03200100113252,,,,,
1032,03200100807010,,,,,
1033,03200100807020,,,,,
1034,03200100807048,,,,,
1035,03200100807076,,,,,
1036,03200100807082,,,,,
1037,03200100807104,,,,,
1038,03200100807132,,,,,
1039,03200100807154,,,,,
1040,03200100807160,,,,,
1041,03200100807188,,,,,
1042,03200100807216,,,,,
1043,03200100807244,,,,,
1044,03200200209001,,,,,
1045,03200200209010,,,,,
1046,03200200209019,,,,,
1047,03200200209028,,,,,
1048,03200200209037,,,,,
1049,03200200209046,,,,,
1050,03200200209055,,,,,
1051,03200200209064,,,,,
1052,03200200209073,,,,,
1053,03200200209082,,,,,
1054,03200200209091,,,,,
1055,03200200209100,,,,,
1056,03210100412010,,,,,
1057,03210100412027,,,,,
1058,03210100412044,,,,,
1059,03210100412061,,,,,
1060,03210100412078,,,,,
1061,03210100412095,,,,,
1062,03210100412112,,,,,
1063,03210100412129,,,,,
1064,03210100412146,,,,,
