,HHID,Item,L3
803,01020600113075,6,-888.0
804,01020600113075,7,-888.0
805,01020600113075,8,-888.0
806,01020600113075,9,-888.0
807,01020600113075,10,-888.0
808,01020600113075,11,-888.0
809,01020600113075,12,-888.0
810,01020600113075,13,-888.0
811,01020600113075,14,-888.0
812,01020600113083,1,-888.0
813,01020600113083,2,1000.0
814,01020600113083,3,1000.0
815,01020600113083,4,-888.0
816,01020600113083,5,-888.0
817,01020600113083,6,-888.0
818,01020600113083,7,-888.0
819,01020600113083,8,200.0
820,01020600113083,9,-888.0
821,01020600113083,10,-888.0
822,01020600113083,11,-888.0
823,01020600113083,12,-888.0
824,01020600113083,13,-888.0
825,01020600113083,14,-888.0
826,01020600113091,1,-888.0
827,01020600113091,2,1000.0
828,01020600113091,3,500.0
829,01020600113091,4,-888.0
830,01020600113091,5,-888.0
831,01020600113091,6,-888.0
832,01020600113091,7,-888.0
833,01020600113091,8,200.0
834,01020600113091,9,-888.0
835,01020600113091,10,-888.0
836,01020600113091,11,-888.0
837,01020600113091,12,-888.0
838,01020600113091,13,-888.0
839,01020600113091,14,-888.0
840,01020801604004,1,2000.0
841,01020801604004,2,1500.0
842,01020801604004,3,1500.0
843,01020801604004,4,0.0
844,01020801604004,5,20.0
845,01020801604004,6,0.0
846,01020801604004,7,0.0
847,01020801604004,8,100.0
848,01020801604004,9,0.0
849,01020801604004,10,0.0
850,01020801604004,11,
851,01020801604004,12,0.0
852,01020801604004,13,5000.0
853,01020801604004,14,0.0
854,01020801604014,1,600.0
855,01020801604014,2,1000.0
856,01020801604014,3,1000.0
857,01020801604014,4,0.0
858,01020801604014,5,0.0
859,01020801604014,6,200.0
860,01020801604014,7,0.0
861,01020801604014,8,100.0
862,01020801604014,9,0.0
863,01020801604014,10,0.0
864,01020801604014,11,0.0
865,01020801604014,12,2000.0
866,01020801604014,13,0.0
867,01020801604014,14,0.0
868,01020801604024,1,0.0
869,01020801604024,2,2000.0
870,01020801604024,3,1500.0
871,01020801604024,4,0.0
872,01020801604024,5,0.0
873,01020801604024,6,0.0
874,01020801604024,7,0.0
875,01020801604024,8,200.0
876,01020801604024,9,0.0
877,01020801604024,10,0.0
878,01020801604024,11,0.0
879,01020801604024,12,0.0
880,01020801604024,13,6000.0
881,01020801604024,14,0.0
882,01020801604034,1,0.0
883,01020801604034,2,1000.0
884,01020801604034,3,2000.0
885,01020801604034,4,500.0
886,01020801604034,5,0.0
887,01020801604034,6,0.0
888,01020801604034,7,180.0
889,01020801604034,8,200.0
890,01020801604034,9,0.0
891,01020801604034,10,0.0
892,01020801604034,11,0.0
893,01020801604034,12,500.0
894,01020801604034,13,0.0
895,01020801604034,14,0.0
896,01020801604044,1,0.0
897,01020801604044,2,1500.0
898,01020801604044,3,1000.0
899,01020801604044,4,300.0
900,01020801604044,5,0.0
901,01020801604044,6,0.0
902,01020801604044,7,0.0
903,01020801604044,8,180.0
904,01020801604044,9,0.0
905,01020801604044,10,0.0
906,01020801604044,11,0.0
907,01020801604044,12,2000.0
908,01020801604044,13,0.0
909,01020801604044,14,0.0
910,01020801604054,1,0.0
911,01020801604054,2,950.0
912,01020801604054,3,1000.0
913,01020801604054,4,400.0
914,01020801604054,5,7.0
915,01020801604054,6,500.0
916,01020801604054,7,0.0
917,01020801604054,8,0.0
918,01020801604054,9,0.0
919,01020801604054,10,0.0
920,01020801604054,11,0.0
921,01020801604054,12,0.0
922,01020801604054,13,0.0
923,01020801604054,14,0.0
924,01020801604064,1,1000.0
925,01020801604064,2,500.0
926,01020801604064,3,150.0
927,01020801604064,4,200.0
928,01020801604064,5,0.0
929,01020801604064,6,1500.0
930,01020801604064,7,500.0
931,01020801604064,8,450.0
932,01020801604064,9,0.0
933,01020801604064,10,0.0
934,01020801604064,11,4500.0
935,01020801604064,12,500.0
936,01020801604064,13,0.0
937,01020801604064,14,0.0
938,01020801604074,1,500.0
939,01020801604074,2,100.0
940,01020801604074,3,200.0
941,01020801604074,4,200.0
942,01020801604074,5,0.0
943,01020801604074,6,250.0
944,01020801604074,7,250.0
945,01020801604074,8,150.0
946,01020801604074,9,0.0
947,01020801604074,10,0.0
948,01020801604074,11,0.0
949,01020801604074,12,0.0
950,01020801604074,13,0.0
951,01020801604074,14,0.0
952,01020801604084,1,50.0
953,01020801604084,2,50.0
954,01020801604084,3,100.0
955,01020801604084,4,150.0
956,01020801604084,5,200.0
957,01020801604084,6,100.0
958,01020801604084,7,0.0
959,01020801604084,8,90.0
960,01020801604084,9,50.0
961,01020801604084,10,0.0
962,01020801604084,11,0.0
963,01020801604084,12,0.0
964,01020801604084,13,0.0
965,01020801604084,14,0.0
966,01020801604100,1,1200.0
967,01020801604100,2,450.0
968,01020801604100,3,300.0
969,01020801604100,4,100.0
