,HHID,M_item,M_a,M_b,M_c
115,01010200116041,20,0,,
116,01010200116041,21,1,3.0,
117,01010200116041,22,0,,
118,01010200116041,23,0,,
119,01010200116041,24,0,,
120,01010200116050,1,1,1.0,
121,01010200116050,2,0,,
122,01010200116050,3,0,,
123,01010200116050,4,0,,
124,01010200116050,5,0,,
125,01010200116050,6,0,,
126,01010200116050,7,0,,
127,01010200116050,8,0,,
128,01010200116050,9,0,,
129,01010200116050,10,0,,
130,01010200116050,11,0,,
131,01010200116050,12,0,,
132,01010200116050,13,0,,
133,01010200116050,14,0,,
134,01010200116050,15,0,,
135,01010200116050,16,0,,
136,01010200116050,17,0,,
137,01010200116050,18,0,,
138,01010200116050,19,0,,
139,01010200116050,20,0,,
140,01010200116050,21,1,1.0,
141,01010200116050,22,0,,
142,01010200116050,23,0,,
143,01010200116050,24,0,,
144,01010200116059,1,2,1.0,
145,01010200116059,2,0,,
146,01010200116059,3,0,,
147,01010200116059,4,0,,
148,01010200116059,5,0,,
149,01010200116059,6,0,,
150,01010200116059,7,0,,
151,01010200116059,8,0,,
152,01010200116059,9,0,,
153,01010200116059,10,0,,
154,01010200116059,11,0,,
155,01010200116059,12,0,,
156,01010200116059,13,0,,
157,01010200116059,14,0,,
158,01010200116059,15,0,,
159,01010200116059,16,0,,
160,01010200116059,17,0,,
161,01010200116059,18,0,,
162,01010200116059,19,0,,
163,01010200116059,20,0,,
164,01010200116059,21,1,1.0,
165,01010200116059,22,0,,
166,01010200116059,23,1,1.0,
167,01010200116059,24,0,,
168,01010200116068,1,1,1.0,
169,01010200116068,2,0,,
170,01010200116068,3,0,,
171,01010200116068,4,0,,
172,01010200116068,5,0,,
173,01010200116068,6,0,,
174,01010200116068,7,1,1.0,
175,01010200116068,8,0,,
176,01010200116068,9,0,,
177,01010200116068,10,0,,
178,01010200116068,11,0,,
179,01010200116068,12,0,,
180,01010200116068,13,0,,
181,01010200116068,14,0,,
182,01010200116068,15,0,,
183,01010200116068,16,0,,
184,01010200116068,17,0,,
185,01010200116068,18,0,,
186,01010200116068,19,0,,
187,01010200116068,20,1,1.0,
188,01010200116068,21,0,,
189,01010200116068,22,0,,
190,01010200116068,23,1,1.0,4.0
191,01010200116068,24,0,,
192,01010200116077,1,1,1.0,
193,01010200116077,2,0,,
194,01010200116077,3,0,,
195,01010200116077,4,0,,
196,01010200116077,5,0,,
197,01010200116077,6,0,,
198,01010200116077,7,0,,
199,01010200116077,8,0,,
200,01010200116077,9,0,,
201,01010200116077,10,0,,
202,01010200116077,11,0,,
203,01010200116077,12,0,,
204,01010200116077,13,0,,
205,01010200116077,14,0,,
206,01010200116077,15,0,,
207,01010200116077,16,0,,
208,01010200116077,17,0,,
209,01010200116077,18,0,,
210,01010200116077,19,0,,
211,01010200116077,20,0,,
212,01010200116077,21,1,1.0,
213,01010200116077,22,0,,
214,01010200116077,23,1,1.0,8.0
215,01010200116077,24,0,,
216,01010200116086,1,1,1.0,
217,01010200116086,2,0,,
218,01010200116086,3,0,,
219,01010200116086,4,0,,
220,01010200116086,5,0,,
221,01010200116086,6,0,,
222,01010200116086,7,0,,
223,01010200116086,8,0,,
224,01010200116086,9,0,,
225,01010200116086,10,0,,
226,01010200116086,11,0,,
227,01010200116086,12,0,,
228,01010200116086,13,0,,
229,01010200116086,14,0,,
230,01010200116086,15,0,,
231,01010200116086,16,0,,
232,01010200116086,17,0,,
233,01010200116086,18,0,,
234,01010200116086,19,0,,
235,01010200116086,20,0,,
236,01010200116086,21,0,,
237,01010200116086,22,0,,
238,01010200116086,23,1,4.0,6.0
239,01010200116086,24,0,,
240,01010200116095,1,1,1.0,
241,01010200116095,2,0,,
242,01010200116095,3,0,,
243,01010200116095,4,0,,
244,01010200116095,5,0,,
245,01010200116095,6,0,,
246,01010200116095,7,0,,
247,01010200116095,8,0,,
248,01010200116095,9,0,,
249,01010200116095,10,0,,
250,01010200116095,11,0,,
251,01010200116095,12,0,,
252,01010200116095,13,0,,
253,01010200116095,14,0,,
254,01010200116095,15,0,,
255,01010200116095,16,0,,
256,01010200116095,17,0,,
257,01010200116095,18,0,,
258,01010200116095,19,0,,
259,01010200116095,20,0,,
260,01010200116095,21,0,,
261,01010200116095,22,0,,
262,01010200116095,23,0,,
263,01010200116095,24,0,,
264,01010200116104,1,1,3.0,
265,01010200116104,2,0,,
266,01010200116104,3,0,,
267,01010200116104,4,0,,
268,01010200116104,5,0,,
269,01010200116104,6,0,,
270,01010200116104,7,0,,
271,01010200116104,8,0,,
272,01010200116104,9,0,,
273,01010200116104,10,0,,
274,01010200116104,11,0,,
275,01010200116104,12,0,,
276,01010200116104,13,0,,
277,01010200116104,14,0,,
278,01010200116104,15,0,,
279,01010200116104,16,0,,
280,01010200116104,17,0,,
281,01010200116104,18,0,,
282,01010200116104,19,0,,
283,01010200116104,20,0,,
284,01010200116104,21,1,3.0,
285,01010200116104,22,0,,
286,01010200116104,23,0,,
287,01010200116104,24,0,,
288,01010301101004,1,0,,
289,01010301101004,2,0,,
290,01010301101004,3,0,,
291,01010301101004,4,2,2.0,
292,01010301101004,5,0,,
293,01010301101004,6,0,,
294,01010301101004,7,0,,
295,01010301101004,8,0,,
296,01010301101004,9,0,,
297,01010301101004,10,0,,
298,01010301101004,11,0,,
299,01010301101004,12,0,,
300,01010301101004,13,0,,
301,01010301101004,14,0,,
302,01010301101004,15,0,,
303,01010301101004,16,0,,
304,01010301101004,17,0,,
305,01010301101004,18,0,,
306,01010301101004,19,0,,
307,01010301101004,20,0,,
308,01010301101004,21,0,,
309,01010301101004,22,0,,
310,01010301101004,23,0,,
311,01010301101004,24,0,,
312,01010301101005,1,0,,
313,01010301101005,2,0,,
314,01010301101005,3,0,,
315,01010301101005,4,0,,
316,01010301101005,5,0,,
317,01010301101005,6,0,,
318,01010301101005,7,0,,
319,01010301101005,8,0,,
320,01010301101005,9,0,,
321,01010301101005,10,0,,
322,01010301101005,11,0,,
323,01010301101005,12,0,,
324,01010301101005,13,0,,
325,01010301101005,14,0,,
326,01010301101005,15,0,,
327,01010301101005,16,0,,
328,01010301101005,17,0,,
329,01010301101005,18,0,,
330,01010301101005,19,0,,
331,01010301101005,20,0,,
332,01010301101005,21,0,,
333,01010301101005,22,0,,
334,01010301101005,23,0,,
335,01010301101005,24,0,,
336,01010301101010,1,0,,
337,01010301101010,2,0,,
338,01010301101010,3,0,,
339,01010301101010,4,1,1.0,
340,01010301101010,5,0,,
341,01010301101010,6,0,,
342,01010301101010,7,0,,
343,01010301101010,8,0,,
344,01010301101010,9,0,,
345,01010301101010,10,0,,
346,01010301101010,11,0,,
347,01010301101010,12,0,,
348,01010301101010,13,0,,
349,01010301101010,14,0,,
350,01010301101010,15,0,,
351,01010301101010,16,0,,
352,01010301101010,17,0,,
353,01010301101010,18,0,,
354,01010301101010,19,0,,
355,01010301101010,20,0,,
356,01010301101010,21,1,1.0,
357,01010301101010,22,0,,
358,01010301101010,23,0,,
359,01010301101010,24,0,,
360,01010301101012,1,0,,
361,01010301101012,2,0,,
362,01010301101012,3,0,,
363,01010301101012,4,0,,
364,01010301101012,5,0,,
365,01010301101012,6,0,,
366,01010301101012,7,0,,
367,01010301101012,8,0,,
368,01010301101012,9,0,,
369,01010301101012,10,0,,
370,01010301101012,11,0,,
371,01010301101012,12,0,,
372,01010301101012,13,0,,
373,01010301101012,14,0,,
374,01010301101012,15,0,,
375,01010301101012,16,0,,
376,01010301101012,17,0,,
377,01010301101012,18,0,,
378,01010301101012,19,0,,
379,01010301101012,20,0,,
380,01010301101012,21,1,2.0,
381,01010301101012,22,0,,
382,01010301101012,23,0,,
383,01010301101012,24,0,,
384,01010301101016,1,3,2.0,
385,01010301101016,2,0,,
386,01010301101016,3,0,,
387,01010301101016,4,1,2.0,
388,01010301101016,5,0,,
389,01010301101016,6,0,,
390,01010301101016,7,0,,
391,01010301101016,8,0,,
392,01010301101016,9,0,,
393,01010301101016,10,0,,
394,01010301101016,11,0,,
395,01010301101016,12,0,,
396,01010301101016,13,0,,
397,01010301101016,14,0,,
398,01010301101016,15,0,,
399,01010301101016,16,0,,
400,01010301101016,17,0,,
401,01010301101016,18,0,,
402,01010301101016,19,0,,
403,01010301101016,20,3,3.0,
404,01010301101016,21,0,,
405,01010301101016,22,0,,
406,01010301101016,23,0,,
407,01010301101016,24,0,,
408,01010301101020,1,0,,
409,01010301101020,2,0,,
410,01010301101020,3,0,,
411,01010301101020,4,0,,
412,01010301101020,5,0,,
413,01010301101020,6,0,,
414,01010301101020,7,0,,
415,01010301101020,8,0,,
416,01010301101020,9,0,,
417,01010301101020,10,0,,
418,01010301101020,11,0,,
419,01010301101020,12,0,,
420,01010301101020,13,0,,
421,01010301101020,14,0,,
422,01010301101020,15,0,,
423,01010301101020,16,0,,
424,01010301101020,17,0,,
425,01010301101020,18,0,,
426,01010301101020,19,0,,
427,01010301101020,20,0,,
428,01010301101020,21,0,,
429,01010301101020,22,0,,
430,01010301101020,23,0,,
431,01010301101020,24,0,,
432,01010301101022,1,1,1.0,
433,01010301101022,2,0,,
434,01010301101022,3,0,,
435,01010301101022,4,0,,
436,01010301101022,5,0,,
437,01010301101022,6,0,,
438,01010301101022,7,0,,
439,01010301101022,8,0,,
440,01010301101022,9,0,,
441,01010301101022,10,0,,
442,01010301101022,11,0,,
443,01010301101022,12,0,,
444,01010301101022,13,0,,
445,01010301101022,14,0,,
446,01010301101022,15,0,,
447,01010301101022,16,0,,
448,01010301101022,17,0,,
449,01010301101022,18,0,,
450,01010301101022,19,0,,
451,01010301101022,20,0,,
452,01010301101022,21,1,1.0,
453,01010301101022,22,0,,
454,01010301101022,23,0,,
455,01010301101022,24,0,,
456,01010301101028,1,0,,
457,01010301101028,2,0,,
458,01010301101028,3,2,1.0,
459,01010301101028,4,0,,
460,01010301101028,5,0,,
461,01010301101028,6,0,,
462,01010301101028,7,0,,
463,01010301101028,8,0,,
464,01010301101028,9,0,,
465,01010301101028,10,0,,
466,01010301101028,11,0,,
467,01010301101028,12,0,,
468,01010301101028,13,0,,
469,01010301101028,14,0,,
470,01010301101028,15,0,,
471,01010301101028,16,0,,
472,01010301101028,17,0,,
473,01010301101028,18,0,,
474,01010301101028,19,0,,
475,01010301101028,20,0,,
476,01010301101028,21,3,1.0,
477,01010301101028,22,0,,
478,01010301101028,23,0,,
479,01010301101028,24,0,,
480,01010301101034,1,1,2.0,
481,01010301101034,2,0,,
482,01010301101034,3,0,,
483,01010301101034,4,2,2.0,
484,01010301101034,5,0,,
485,01010301101034,6,0,,
486,01010301101034,7,0,,
487,01010301101034,8,0,,
488,01010301101034,9,0,,
489,01010301101034,10,0,,
490,01010301101034,11,0,,
491,01010301101034,12,0,,
492,01010301101034,13,0,,
493,01010301101034,14,0,,
494,01010301101034,15,0,,
495,01010301101034,16,0,,
496,01010301101034,17,0,,
497,01010301101034,18,0,,
498,01010301101034,19,0,,
499,01010301101034,20,0,,
500,01010301101034,21,2,3.0,
501,01010301101034,22,0,,
502,01010301101034,23,0,,
503,01010301101034,24,0,,
504,01010301101040,1,1,2.0,
505,01010301101040,2,0,,
506,01010301101040,3,0,,
507,01010301101040,4,0,,
508,01010301101040,5,0,,
509,01010301101040,6,0,,
510,01010301101040,7,0,,
511,01010301101040,8,0,,
512,01010301101040,9,0,,
513,01010301101040,10,0,,
514,01010301101040,11,0,,
515,01010301101040,12,0,,
516,01010301101040,13,0,,
517,01010301101040,14,0,,
518,01010301101040,15,0,,
519,01010301101040,16,0,,
520,01010301101040,17,0,,
521,01010301101040,18,0,,
522,01010301101040,19,0,,
523,01010301101040,20,0,,
524,01010301101040,21,1,2.0,
525,01010301101040,22,0,,
526,01010301101040,23,0,,
527,01010301101040,24,0,,
528,01010301101046,1,1,1.0,
529,01010301101046,2,0,,
530,01010301101046,3,0,,
531,01010301101046,4,0,,
532,01010301101046,5,0,,
533,01010301101046,6,0,,
534,01010301101046,7,0,,
535,01010301101046,8,0,,
536,01010301101046,9,0,,
537,01010301101046,10,0,,
538,01010301101046,11,0,,
539,01010301101046,12,0,,
540,01010301101046,13,0,,
541,01010301101046,14,0,,
542,01010301101046,15,0,,
543,01010301101046,16,0,,
544,01010301101046,17,0,,
545,01010301101046,18,0,,
546,01010301101046,19,0,,
547,01010301101046,20,0,,
548,01010301101046,21,1,1.0,
549,01010301101046,22,0,,
550,01010301101046,23,0,,
551,01010301101046,24,0,,
552,01010301101052,1,1,1.0,
553,01010301101052,2,0,,
554,01010301101052,3,0,,
555,01010301101052,4,0,,
556,01010301101052,5,0,,
557,01010301101052,6,0,,
558,01010301101052,7,0,,
559,01010301101052,8,0,,
560,01010301101052,9,0,,
561,01010301101052,10,0,,
562,01010301101052,11,0,,
563,01010301101052,12,0,,
564,01010301101052,13,0,,
565,01010301101052,14,0,,
566,01010301101052,15,0,,
567,01010301101052,16,0,,
568,01010301101052,17,0,,
569,01010301101052,18,0,,
570,01010301101052,19,0,,
571,01010301101052,20,0,,
572,01010301101052,21,0,,
573,01010301101052,22,0,,
574,01010301101052,23,0,,
575,01010301101052,24,0,,
576,01010400404008,1,0,,
577,01010400404008,2,0,,
578,01010400404008,3,0,,
579,01010400404008,4,0,,
580,01010400404008,5,0,,
581,01010400404008,6,0,,
582,01010400404008,7,0,,
583,01010400404008,8,0,,
584,01010400404008,9,0,,
585,01010400404008,10,0,,
586,01010400404008,11,0,,
587,01010400404008,12,0,,
588,01010400404008,13,0,,
589,01010400404008,14,0,,
590,01010400404008,15,0,,
591,01010400404008,16,0,,
592,01010400404008,17,0,,
593,01010400404008,18,0,,
594,01010400404008,19,0,,
595,01010400404008,20,0,,
596,01010400404008,21,2,1.0,
597,01010400404008,22,0,,
598,01010400404008,23,0,,
599,01010400404008,24,0,,
600,01010400404027,1,0,,
601,01010400404027,2,0,,
602,01010400404027,3,0,,
603,01010400404027,4,0,,
604,01010400404027,5,0,,
605,01010400404027,6,0,,
606,01010400404027,7,0,,
607,01010400404027,8,0,,
608,01010400404027,9,0,,
609,01010400404027,10,0,,
610,01010400404027,11,0,,
611,01010400404027,12,0,,
612,01010400404027,13,0,,
613,01010400404027,14,0,,
614,01010400404027,15,0,,
615,01010400404027,16,0,,
616,01010400404027,17,0,,
617,01010400404027,18,0,,
618,01010400404027,19,0,,
619,01010400404027,20,0,,
620,01010400404027,21,0,,
621,01010400404027,22,0,,
622,01010400404027,23,0,,
623,01010400404027,24,0,,
624,01010400404046,1,0,,
625,01010400404046,2,0,,
626,01010400404046,3,0,,
627,01010400404046,4,0,,
628,01010400404046,5,0,,
629,01010400404046,6,0,,
630,01010400404046,7,0,,
631,01010400404046,8,0,,
632,01010400404046,9,0,,
633,01010400404046,10,0,,
634,01010400404046,11,0,,
635,01010400404046,12,0,,
636,01010400404046,13,0,,
637,01010400404046,14,0,,
638,01010400404046,15,0,,
639,01010400404046,16,0,,
640,01010400404046,17,0,,
641,01010400404046,18,0,,
642,01010400404046,19,0,,
643,01010400404046,20,0,,
644,01010400404046,21,0,,
645,01010400404046,22,0,,
646,01010400404046,23,0,,
647,01010400404046,24,0,,
648,01010400404060,1,0,,
649,01010400404060,2,0,,
650,01010400404060,3,0,,
651,01010400404060,4,0,,
652,01010400404060,5,0,,
653,01010400404060,6,0,,
654,01010400404060,7,0,,
655,01010400404060,8,0,,
656,01010400404060,9,0,,
657,01010400404060,10,0,,
658,01010400404060,11,0,,
659,01010400404060,12,0,,
660,01010400404060,13,0,,
661,01010400404060,14,0,,
662,01010400404060,15,0,,
663,01010400404060,16,0,,
664,01010400404060,17,0,,
665,01010400404060,18,0,,
666,01010400404060,19,0,,
667,01010400404060,20,0,,
668,01010400404060,21,2,5.0,
669,01010400404060,22,0,,
670,01010400404060,23,0,,
671,01010400404060,24,0,,
672,01010400404084,1,0,,
673,01010400404084,2,0,,
674,01010400404084,3,0,,
675,01010400404084,4,0,,
676,01010400404084,5,0,,
677,01010400404084,6,0,,
678,01010400404084,7,0,,
679,01010400404084,8,0,,
680,01010400404084,9,0,,
681,01010400404084,10,0,,
682,01010400404084,11,0,,
683,01010400404084,12,0,,
684,01010400404084,13,0,,
685,01010400404084,14,0,,
686,01010400404084,15,0,,
687,01010400404084,16,0,,
688,01010400404084,17,0,,
689,01010400404084,18,0,,
690,01010400404084,19,0,,
691,01010400404084,20,0,,
692,01010400404084,21,0,,
693,01010400404084,22,0,,
694,01010400404084,23,0,,
695,01010400404084,24,0,,
696,01010400404103,1,0,,
697,01010400404103,2,0,,
698,01010400404103,3,0,,
699,01010400404103,4,0,,
700,01010400404103,5,0,,
701,01010400404103,6,0,,
702,01010400404103,7,0,,
703,01010400404103,8,0,,
704,01010400404103,9,0,,
705,01010400404103,10,0,,
706,01010400404103,11,0,,
707,01010400404103,12,0,,
708,01010400404103,13,0,,
709,01010400404103,14,0,,
710,01010400404103,15,0,,
711,01010400404103,16,0,,
712,01010400404103,17,0,,
713,01010400404103,18,0,,
714,01010400404103,19,0,,
715,01010400404103,20,0,,
716,01010400404103,21,1,1.0,
717,01010400404103,22,0,,
718,01010400404103,23,0,,
719,01010400404103,24,0,,
720,01010400404122,1,0,,
721,01010400404122,2,0,,
722,01010400404122,3,0,,
723,01010400404122,4,0,,
724,01010400404122,5,0,,
725,01010400404122,6,0,,
726,01010400404122,7,0,,
727,01010400404122,8,0,,
728,01010400404122,9,0,,
729,01010400404122,10,0,,
730,01010400404122,11,0,,
731,01010400404122,12,0,,
732,01010400404122,13,0,,
733,01010400404122,14,0,,
734,01010400404122,15,0,,
735,01010400404122,16,0,,
736,01010400404122,17,0,,
737,01010400404122,18,0,,
738,01010400404122,19,0,,
739,01010400404122,20,0,,
740,01010400404122,21,0,,
741,01010400404122,22,0,,
742,01010400404122,23,0,,
743,01010400404122,24,0,,
744,01010400404141,1,0,,
745,01010400404141,2,0,,
746,01010400404141,3,0,,
747,01010400404141,4,0,,
748,01010400404141,5,0,,
749,01010400404141,6,0,,
750,01010400404141,7,0,,
751,01010400404141,8,0,,
752,01010400404141,9,0,,
753,01010400404141,10,0,,
754,01010400404141,11,0,,
755,01010400404141,12,0,,
756,01010400404141,13,0,,
757,01010400404141,14,0,,
758,01010400404141,15,0,,
759,01010400404141,16,0,,
760,01010400404141,17,0,,
761,01010400404141,18,0,,
762,01010400404141,19,0,,
763,01010400404141,20,0,,
764,01010400404141,21,0,,
765,01010400404141,22,0,,
766,01010400404141,23,0,,
767,01010400404141,24,0,,
768,01010400404160,1,0,,
769,01010400404160,2,0,,
770,01010400404160,3,0,,
771,01010400404160,4,0,,
772,01010400404160,5,0,,
773,01010400404160,6,0,,
774,01010400404160,7,0,,
775,01010400404160,8,0,,
776,01010400404160,9,0,,
777,01010400404160,10,0,,
778,01010400404160,11,0,,
779,01010400404160,12,0,,
780,01010400404160,13,0,,
781,01010400404160,14,0,,
782,01010400404160,15,0,,
783,01010400404160,16,0,,
784,01010400404160,17,0,,
785,01010400404160,18,0,,
786,01010400404160,19,0,,
787,01010400404160,20,0,,
788,01010400404160,21,1,2.0,
789,01010400404160,22,0,,
790,01010400404160,23,0,,
791,01010400404160,24,0,,
792,01010400404178,1,0,,
793,01010400404178,2,0,,
794,01010400404178,3,0,,
795,01010400404178,4,0,,
796,01010400404178,5,0,,
797,01010400404178,6,0,,
798,01010400404178,7,0,,
799,01010400404178,8,0,,
800,01010400404178,9,0,,
801,01010400404178,10,0,,
802,01010400404178,11,0,,
803,01010400404178,12,0,,
804,01010400404178,13,0,,
805,01010400404178,14,0,,
806,01010400404178,15,0,,
807,01010400404178,16,0,,
808,01010400404178,17,0,,
809,01010400404178,18,0,,
810,01010400404178,19,0,,
811,01010400404178,20,0,,
812,01010400404178,21,1,1.0,
813,01010400404178,22,0,,
814,01010400404178,23,0,,
815,01010400404178,24,0,,
816,01010400404197,1,0,,
817,01010400404197,2,0,,
818,01010400404197,3,0,,
819,01010400404197,4,0,,
820,01010400404197,5,0,,
821,01010400404197,6,0,,
822,01010400404197,7,0,,
823,01010400404197,8,0,,
824,01010400404197,9,0,,
825,01010400404197,10,0,,
826,01010400404197,11,0,,
827,01010400404197,12,0,,
828,01010400404197,13,0,,
829,01010400404197,14,0,,
830,01010400404197,15,0,,
831,01010400404197,16,0,,
832,01010400404197,17,0,,
833,01010400404197,18,0,,
834,01010400404197,19,0,,
835,01010400404197,20,0,,
836,01010400404197,21,0,,
837,01010400404197,22,0,,
838,01010400404197,23,0,,
839,01010400404197,24,0,,
840,01010400404216,1,0,,
841,01010400404216,2,0,,
842,01010400404216,3,0,,
843,01010400404216,4,0,,
844,01010400404216,5,0,,
845,01010400404216,6,0,,
846,01010400404216,7,0,,
847,01010400404216,8,0,,
848,01010400404216,9,0,,
849,01010400404216,10,0,,
850,01010400404216,11,0,,
851,01010400404216,12,0,,
852,01010400404216,13,0,,
853,01010400404216,14,0,,
854,01010400404216,15,0,,
855,01010400404216,16,0,,
856,01010400404216,17,0,,
857,01010400404216,18,0,,
858,01010400404216,19,0,,
859,01010400404216,20,0,,
860,01010400404216,21,0,,
861,01010400404216,22,0,,
862,01010400404216,23,0,,
863,01010400404216,24,0,,
864,01010400804007,1,0,,
865,01010400804007,2,0,,
866,01010400804007,3,0,,
867,01010400804007,4,0,,
868,01010400804007,5,0,,
869,01010400804007,6,0,,
870,01010400804007,7,0,,
871,01010400804007,8,0,,
872,01010400804007,9,0,,
873,01010400804007,10,0,,
874,01010400804007,11,0,,
875,01010400804007,12,0,,
876,01010400804007,13,0,,
877,01010400804007,14,0,,
878,01010400804007,15,0,,
879,01010400804007,16,0,,
880,01010400804007,17,0,,
881,01010400804007,18,0,,
882,01010400804007,19,0,,
883,01010400804007,20,2,1.0,
884,01010400804007,21,3,1.0,
885,01010400804007,22,0,,
886,01010400804007,23,0,,
887,01010400804007,24,0,,
888,01010400804027,1,0,,
889,01010400804027,2,0,,
890,01010400804027,3,0,,
891,01010400804027,4,0,,
892,01010400804027,5,0,,
893,01010400804027,6,0,,
894,01010400804027,7,0,,
895,01010400804027,8,0,,
896,01010400804027,9,0,,
897,01010400804027,10,0,,
898,01010400804027,11,0,,
899,01010400804027,12,0,,
900,01010400804027,13,0,,
901,01010400804027,14,0,,
902,01010400804027,15,0,,
903,01010400804027,16,0,,
904,01010400804027,17,0,,
905,01010400804027,18,0,,
906,01010400804027,19,0,,
907,01010400804027,20,0,,
908,01010400804027,21,1,1.0,
909,01010400804027,22,0,,
910,01010400804027,23,0,,
911,01010400804027,24,0,,
912,01010400804047,1,0,,
913,01010400804047,2,0,,
914,01010400804047,3,0,,
915,01010400804047,4,0,,
916,01010400804047,5,0,,
917,01010400804047,6,0,,
918,01010400804047,7,0,,
919,01010400804047,8,0,,
920,01010400804047,9,0,,
921,01010400804047,10,0,,
922,01010400804047,11,0,,
923,01010400804047,12,0,,
924,01010400804047,13,0,,
925,01010400804047,14,0,,
926,01010400804047,15,0,,
927,01010400804047,16,0,,
928,01010400804047,17,0,,
929,01010400804047,18,0,,
930,01010400804047,19,0,,
931,01010400804047,20,0,,
932,01010400804047,21,2,3.0,
933,01010400804047,22,0,,
934,01010400804047,23,0,,
935,01010400804047,24,0,,
936,01010400804067,1,0,,
937,01010400804067,2,0,,
938,01010400804067,3,0,,
939,01010400804067,4,0,,
940,01010400804067,5,0,,
941,01010400804067,6,0,,
942,01010400804067,7,0,,
943,01010400804067,8,0,,
944,01010400804067,9,0,,
945,01010400804067,10,0,,
946,01010400804067,11,0,,
947,01010400804067,12,0,,
948,01010400804067,13,0,,
949,01010400804067,14,0,,
950,01010400804067,15,0,,
951,01010400804067,16,0,,
952,01010400804067,17,0,,
953,01010400804067,18,0,,
954,01010400804067,19,0,,
955,01010400804067,20,0,,
956,01010400804067,21,2,3.0,
957,01010400804067,22,0,,
958,01010400804067,23,0,,
959,01010400804067,24,0,,
960,01010400804087,1,0,,
961,01010400804087,2,0,,
962,01010400804087,3,0,,
963,01010400804087,4,0,,
964,01010400804087,5,0,,
965,01010400804087,6,0,,
966,01010400804087,7,0,,
967,01010400804087,8,0,,
968,01010400804087,9,0,,
969,01010400804087,10,0,,
970,01010400804087,11,0,,
971,01010400804087,12,0,,
972,01010400804087,13,0,,
973,01010400804087,14,0,,
974,01010400804087,15,0,,
975,01010400804087,16,0,,
976,01010400804087,17,0,,
977,01010400804087,18,0,,
978,01010400804087,19,0,,
979,01010400804087,20,0,,
980,01010400804087,21,0,,
981,01010400804087,22,0,,
982,01010400804087,23,0,,
