,HHID,O,O1,O2
498,02070300104104,2.0,2.0,
499,02070300104104,2.0,2.0,
500,02070300104115,2.0,2.0,
501,02070300104115,2.0,2.0,
502,02070300104126,2.0,2.0,
503,02070300104126,2.0,2.0,
504,02070300111005,2.0,2.0,
505,02070300111005,2.0,2.0,
506,02070300111015,2.0,2.0,
507,02070300111015,2.0,2.0,
508,02070300111025,2.0,2.0,
509,02070300111025,2.0,2.0,
510,02070300111035,2.0,2.0,
511,02070300111035,2.0,2.0,
512,02070300111045,2.0,2.0,
513,02070300111045,2.0,2.0,
514,02070300111055,2.0,2.0,
515,02070300111055,2.0,2.0,
516,02070300111065,2.0,2.0,
517,02070300111065,2.0,2.0,
518,02070300111075,2.0,2.0,
519,02070300111075,2.0,2.0,
520,02070300111085,1.0,2.0,
521,02070300111085,2.0,2.0,
522,02070300111095,2.0,2.0,
523,02070300111095,2.0,2.0,
524,02070300111105,2.0,2.0,
525,02070300111105,2.0,2.0,
526,02070300111115,2.0,2.0,
527,02070300111115,2.0,2.0,
528,02070300205006,2.0,2.0,
529,02070300205006,2.0,2.0,
530,02070300205011,2.0,2.0,
531,02070300205011,2.0,2.0,
532,02070300205016,1.0,2.0,
533,02070300205016,2.0,2.0,
534,02070300205021,1.0,2.0,
535,02070300205021,2.0,2.0,
536,02070300205026,1.0,2.0,
537,02070300205026,2.0,2.0,
538,02070300205031,2.0,2.0,
539,02070300205031,2.0,2.0,
540,02070300205036,2.0,2.0,
541,02070300205036,2.0,2.0,
542,02070300205041,1.0,2.0,
543,02070300205041,2.0,2.0,
544,02070300205046,1.0,2.0,
545,02070300205046,2.0,2.0,
546,02070300205051,1.0,2.0,
547,02070300205051,2.0,2.0,
548,02070300205056,1.0,2.0,
549,02070300205056,2.0,2.0,
550,02070300205061,1.0,2.0,
551,02070300205061,2.0,2.0,
552,02070300212007,1.0,2.0,
553,02070300212007,2.0,2.0,
554,02070300212015,1.0,2.0,
555,02070300212015,2.0,2.0,
556,02070300212023,1.0,2.0,
557,02070300212023,2.0,2.0,
558,02070300212031,1.0,2.0,
559,02070300212031,2.0,2.0,
560,02070300212039,1.0,2.0,
561,02070300212039,2.0,2.0,
562,02070300212047,1.0,2.0,
563,02070300212047,2.0,2.0,
564,02070300212055,1.0,2.0,
565,02070300212055,2.0,2.0,
566,02070300212063,1.0,2.0,
567,02070300212063,2.0,2.0,
568,02070300212071,1.0,2.0,
569,02070300212071,2.0,2.0,
570,02070300212079,1.0,2.0,
571,02070300212079,2.0,2.0,
572,02070300212087,1.0,2.0,
573,02070300212087,2.0,2.0,
574,02070300212095,1.0,2.0,
575,02070300212095,2.0,2.0,
576,02070501103003,1.0,2.0,
577,02070501103003,2.0,2.0,
578,02070501103013,1.0,2.0,
579,02070501103013,2.0,2.0,
580,02070501103023,1.0,2.0,
581,02070501103023,2.0,2.0,
582,02070501103033,1.0,2.0,
583,02070501103033,2.0,2.0,
584,02070501103041,1.0,2.0,
585,02070501103041,2.0,2.0,
586,02070501103049,1.0,1.0,1.0
587,02070501103049,2.0,2.0,
588,02070501103059,1.0,1.0,1.0
589,02070501103059,2.0,2.0,
590,02070501103079,1.0,1.0,1.0
591,02070501103079,2.0,2.0,
592,02070501103089,1.0,1.0,1.0
593,02070501103089,2.0,2.0,
594,02070501103103,1.0,2.0,
595,02070501103103,2.0,2.0,
596,02070501103106,1.0,1.0,1.0
597,02070501103106,2.0,2.0,
598,02070501103133,1.0,1.0,1.0
599,02070501103133,2.0,2.0,
600,02070501302004,1.0,2.0,
601,02070501302004,2.0,2.0,
602,02070501302016,1.0,2.0,
603,02070501302016,2.0,2.0,
604,02070501302028,1.0,2.0,
605,02070501302028,2.0,2.0,
606,02070501302040,1.0,2.0,
607,02070501302040,2.0,2.0,
608,02070501302052,1.0,2.0,
609,02070501302052,2.0,2.0,
610,02070501302064,1.0,2.0,
611,02070501302064,2.0,2.0,
612,02070501302076,1.0,2.0,
613,02070501302076,1.0,2.0,
614,02070501302088,1.0,2.0,
615,02070501302088,1.0,2.0,
616,02070501302100,1.0,2.0,
617,02070501302100,1.0,2.0,
618,02070501302112,1.0,2.0,
619,02070501302112,1.0,2.0,
620,02070501302124,1.0,2.0,
621,02070501302124,1.0,2.0,
622,02070501302136,1.0,2.0,
623,02070501302136,1.0,2.0,
624,02080300102008,1.0,2.0,
625,02080300102008,2.0,2.0,
626,02080300102022,1.0,2.0,
627,02080300102022,2.0,2.0,
628,02080300102036,1.0,1.0,1.0
629,02080300102036,2.0,2.0,
630,02080300102050,1.0,1.0,1.0
631,02080300102050,2.0,2.0,
632,02080300102064,1.0,1.0,1.0
633,02080300102064,2.0,2.0,
634,02080300102078,1.0,1.0,1.0
635,02080300102078,2.0,2.0,
636,02080300102092,1.0,1.0,1.0
637,02080300102092,2.0,2.0,
638,02080300102106,1.0,1.0,1.0
639,02080300102106,2.0,2.0,
640,02080300102120,1.0,1.0,1.0
641,02080300102120,2.0,2.0,
642,02080300102134,1.0,1.0,1.0
643,02080300102134,2.0,2.0,
644,02080300102148,1.0,1.0,1.0
645,02080300102148,2.0,2.0,
646,02080300102162,1.0,1.0,1.0
647,02080300102162,2.0,2.0,
648,02080300404004,1.0,1.0,1.0
649,02080300404004,2.0,2.0,
650,02080300404015,1.0,1.0,1.0
651,02080300404015,2.0,2.0,
652,02080300404026,1.0,1.0,1.0
653,02080300404026,2.0,2.0,
654,02080300404037,1.0,2.0,
655,02080300404037,2.0,2.0,
656,02080300404048,1.0,1.0,1.0
657,02080300404048,2.0,2.0,
658,02080300404059,1.0,1.0,1.0
659,02080300404059,2.0,2.0,
660,02080300404070,1.0,1.0,1.0
661,02080300404070,1.0,2.0,
662,02080300404081,1.0,1.0,1.0
663,02080300404081,1.0,1.0,1.0
664,02080300404092,1.0,1.0,1.0
665,02080300404092,1.0,1.0,1.0
666,02080300404104,1.0,2.0,
667,02080300404104,1.0,2.0,
668,02080300404130,1.0,2.0,
669,02080300404130,1.0,2.0,
670,02080300404156,1.0,2.0,
671,02080300404156,1.0,2.0,
672,02090100104008,1.0,2.0,
673,02090100104008,2.0,2.0,
674,02090100104020,1.0,2.0,
675,02090100104020,2.0,2.0,
676,02090100104032,1.0,2.0,
677,02090100104032,2.0,2.0,
678,02090100104044,1.0,2.0,
679,02090100104044,2.0,2.0,
680,02090100104056,1.0,2.0,
681,02090100104056,2.0,2.0,
682,02090100104068,1.0,2.0,
683,02090100104068,2.0,2.0,
684,02090100104080,1.0,2.0,
685,02090100104080,2.0,2.0,
686,02090100104092,2.0,2.0,
687,02090100104092,2.0,2.0,
688,02090100104104,1.0,2.0,
689,02090100104104,2.0,2.0,
690,02090100104116,1.0,2.0,
691,02090100104116,2.0,2.0,
692,02090100104128,1.0,2.0,
693,02090100104128,2.0,2.0,
694,02090100104140,1.0,2.0,
695,02090100104140,2.0,2.0,
696,02090200123004,1.0,2.0,
697,02090200123004,2.0,2.0,
698,02090200123018,1.0,2.0,
699,02090200123018,2.0,2.0,
700,02090200123032,1.0,2.0,
701,02090200123032,2.0,2.0,
702,02090200123046,1.0,2.0,
703,02090200123046,2.0,2.0,
704,02090200123060,1.0,2.0,
705,02090200123060,2.0,2.0,
706,02090200123074,1.0,2.0,
707,02090200123074,2.0,2.0,
708,02090200123088,1.0,2.0,
709,02090200123088,2.0,2.0,
710,02090200123102,1.0,2.0,
711,02090200123102,2.0,2.0,
712,02090200123116,1.0,2.0,
713,02090200123116,2.0,2.0,
714,02090200123130,1.0,2.0,
715,02090200123130,2.0,2.0,
716,02090200123144,1.0,2.0,
717,02090200123144,1.0,2.0,
718,02090200123158,1.0,2.0,
719,02090200123158,2.0,2.0,
720,02100100401006,1.0,1.0,1.0
721,02100100401006,2.0,2.0,
722,02100100401026,1.0,1.0,1.0
723,02100100401026,2.0,2.0,
724,02100100401046,1.0,1.0,1.0
725,02100100401046,2.0,2.0,
726,02100100401066,1.0,1.0,1.0
727,02100100401066,2.0,2.0,
728,02100100401086,1.0,1.0,1.0
729,02100100401086,2.0,2.0,
730,02100100401106,1.0,1.0,1.0
731,02100100401106,2.0,2.0,
732,02100100401126,1.0,2.0,
733,02100100401126,2.0,2.0,
734,02100100401146,1.0,2.0,
735,02100100401146,1.0,2.0,
736,02100100401166,1.0,2.0,
737,02100100401166,2.0,2.0,
738,02100100401186,1.0,1.0,4.0
739,02100100401186,2.0,2.0,
740,02100100401206,1.0,1.0,1.0
741,02100100401206,2.0,2.0,
742,02100100401226,1.0,1.0,1.0
743,02100100401226,2.0,2.0,
744,02100100501005,1.0,1.0,1.0
745,02100100501005,2.0,2.0,
746,02100100501024,1.0,1.0,1.0
747,02100100501024,2.0,2.0,
748,02100100501043,1.0,2.0,
749,02100100501043,2.0,2.0,
750,02100100501062,1.0,2.0,
751,02100100501062,2.0,2.0,
752,02100100501081,1.0,1.0,1.0
753,02100100501081,2.0,2.0,
754,02100100501100,1.0,1.0,3.0
755,02100100501100,2.0,2.0,
756,02100100501119,1.0,1.0,1.0
757,02100100501119,1.0,2.0,
758,02100100501138,1.0,1.0,1.0
759,02100100501138,1.0,2.0,
760,02100100501157,1.0,1.0,1.0
761,02100100501157,1.0,1.0,1.0
762,02100100501176,1.0,1.0,1.0
763,02100100501176,2.0,2.0,
764,02100100501195,1.0,1.0,1.0
765,02100100501195,1.0,1.0,1.0
766,02100100501214,1.0,1.0,1.0
767,02100100501214,2.0,2.0,
768,02100200904005,1.0,1.0,1.0
769,02100200904005,2.0,2.0,
770,02100200904016,1.0,1.0,1.0
771,02100200904016,2.0,2.0,
772,02100200904027,1.0,2.0,
773,02100200904027,2.0,2.0,
774,02100200904038,1.0,2.0,
775,02100200904038,2.0,2.0,
776,02100200904049,1.0,2.0,
777,02100200904049,2.0,2.0,
778,02100200904060,1.0,2.0,
779,02100200904060,2.0,2.0,
780,02100200904071,1.0,2.0,
781,02100200904071,2.0,2.0,
782,02100200904082,1.0,2.0,
783,02100200904082,2.0,2.0,
784,02100200904093,1.0,2.0,
785,02100200904093,2.0,2.0,
786,02100200904104,1.0,2.0,
787,02100200904104,1.0,2.0,
788,02100200904115,1.0,2.0,
789,02100200904115,2.0,2.0,
790,02100200904126,1.0,2.0,
791,02100200904126,2.0,2.0,
792,03110300605013,1.0,2.0,
793,03110300605013,2.0,2.0,
794,03110300605030,1.0,2.0,
795,03110300605030,2.0,2.0,
796,03110300605047,1.0,2.0,
797,03110300605047,2.0,1.0,1.0
798,03110300605064,1.0,2.0,
799,03110300605064,2.0,2.0,
800,03110300605081,1.0,2.0,
801,03110300605081,2.0,1.0,1.0
802,03110300605098,1.0,2.0,
803,03110300605098,2.0,2.0,
804,03110300605115,1.0,2.0,
805,03110300605115,2.0,2.0,
806,03110300605132,1.0,1.0,1.0
807,03110300605132,2.0,2.0,
